country,year,life_expectancy,maternal_mortality_ratio,uhc_index,doctors_per_10000,pharmacists_per_10000,basic_water_access_pct,ncd_mortality_30_70
Afghanistan,2019,63.21,,,,,,
Afghanistan,2015,61.65,701.0,34.0,2.85,5.0,52.39,29.8
Afghanistan,2010,59.94,954.0,,2.37,2.8000000000000003,40.52,31.7
Afghanistan,2000,54.99,1450.0,,,,21.62,34.4
Albania,2019,78.0,,,,,,
Albania,2015,77.84,15.0,58.0,,,89.88,17.4
Albania,2010,76.25,21.0,,12.35,44.900000000000006,82.29,18.6
Albania,2000,73.55,23.0,,13.82,34.300000000000004,81.78,19.4
Algeria,2019,77.13,,,,,,
Algeria,2015,76.54,114.0,76.0,,,88.69,14.4
Algeria,2010,75.85,115.0,,,,86.9,15.4
Algeria,2000,72.21,161.0,,,,83.32,
Angola,2019,63.06,,,,,,
Angola,2015,61.72,251.0,38.0,,,26.71,16.9
Angola,2010,58.07,326.0,,,,24.88,18.1
Angola,2000,49.3,827.0,,,,21.15,24.0
Antigua and Barbuda,2019,76.45,,,,,,
Antigua and Barbuda,2015,76.14,43.0,73.0,,,96.74,22.6
Antigua and Barbuda,2010,75.95,44.0,,,,97.09,21.6
Antigua and Barbuda,2000,74.56,44.0,,,,98.25,23.4
Argentina,2019,76.58,,,,,,
Argentina,2015,76.17,41.0,76.0,,,92.98,16.1
Argentina,2010,75.44,51.0,,,,90.22,17.8
Argentina,2000,74.09,66.0,,,,76.4,20.6
Armenia,2019,76.03,,,,,,
Armenia,2015,74.51,28.0,66.0,29.14,4.9,99.6,23.0
Armenia,2010,73.12,32.0,,28.42,4.3,96.14,25.9
Armenia,2000,71.88,43.0,,27.01,3.5,88.56,27.8
Australia,2019,83.04,,,,,,
Australia,2015,82.28,6.0,86.0,34.89,84.7,100.0,9.3
Australia,2010,81.9,5.0,,33.43,86.8,99.71,10.0
Australia,2000,79.69,7.0,,,,99.06,13.1
Austria,2019,81.65,,,,,,
Austria,2015,80.98,5.0,79.0,51.04,70.3,100.0,11.5
Austria,2010,80.39,5.0,,48.02,66.3,100.0,12.2
Austria,2000,78.17,6.0,,38.49,56.2,100.0,15.3
Azerbaijan,2019,71.43,,,,,,
Azerbaijan,2015,70.67,27.0,63.0,,,79.28,22.5
Azerbaijan,2010,69.03,31.0,,36.63,20.299999999999997,73.56,24.8
Azerbaijan,2000,65.52,47.0,,35.74,29.2,54.93,29.3
Bahamas,2019,73.21,,,,,,
Bahamas,2015,72.92,74.0,73.0,,,98.89,15.6
Bahamas,2010,72.96,78.0,,,,98.67,16.9
Bahamas,2000,70.94,75.0,,,,98.25,20.1
Bahrain,2019,75.81,,,,,,
Bahrain,2015,76.46,15.0,75.0,9.26,16.200000000000003,100.0,11.7
Bahrain,2010,74.52,18.0,,9.49,15.8,100.0,13.8
Bahrain,2000,70.47,27.0,,10.2,19.099999999999998,99.9,23.5
Bangladesh,2019,74.25,,,,,,
Bangladesh,2015,73.58,200.0,46.0,4.86,7.800000000000001,96.43,21.7
Bangladesh,2010,70.29,258.0,,3.64,8.299999999999999,95.75,22.2
Bangladesh,2000,65.59,434.0,,,,94.15,21.4
Barbados,2019,76.03,,,,,,
Barbados,2015,76.22,31.0,76.0,,,98.47,16.3
Barbados,2010,75.88,36.0,,,,98.42,18.0
Barbados,2000,74.5,50.0,,13.44,,98.32,21.0
Belarus,2019,74.81,,,,,,
Belarus,2015,73.82,3.0,74.0,51.91,36.3,95.94,24.5
Belarus,2010,70.39,5.0,,32.5,29.0,97.22,31.0
Belarus,2000,68.85,22.0,,33.0,32.400000000000006,98.88,34.0
Belgium,2019,81.42,,,,,,
Belgium,2015,80.71,5.0,83.0,30.14,120.9,100.0,11.6
Belgium,2010,79.85,6.0,,29.09,115.5,100.0,12.8
Belgium,2000,77.66,8.0,,28.2,104.3,100.0,15.2
Belize,2019,74.41,,,,,,
