country,year,life_expectancy
Afghanistan,2019,63.21
Afghanistan,2015,61.65
Afghanistan,2010,59.94
Afghanistan,2000,54.99
Albania,2019,78.00
Albania,2015,77.84
Albania,2010,76.25
Albania,2000,73.55
Algeria,2019,77.13
Algeria,2015,76.54
Algeria,2010,75.85
Algeria,2000,72.21
Angola,2019,63.06
Angola,2015,61.72
Angola,2010,58.07
Angola,2000,49.30
Antigua and Barbuda,2019,76.45
Antigua and Barbuda,2015,76.14
Antigua and Barbuda,2010,75.95
Antigua and Barbuda,2000,74.56
Argentina,2019,76.58
Argentina,2015,76.17
Argentina,2010,75.44
Argentina,2000,74.09
Armenia,2019,76.03
Armenia,2015,74.51
Armenia,2010,73.12
Armenia,2000,71.88
Australia,2019,83.04
Australia,2015,82.28
Australia,2010,81.90
Australia,2000,79.69
Austria,2019,81.65
Austria,2015,80.98
Austria,2010,80.39
Austria,2000,78.17
Azerbaijan,2019,71.43
Azerbaijan,2015,70.67
Azerbaijan,2010,69.03
Azerbaijan,2000,65.52
Bahamas,2019,73.21
Bahamas,2015,72.92
Bahamas,2010,72.96
Bahamas,2000,70.94
Bahrain,2019,75.81
Bahrain,2015,76.46
Bahrain,2010,74.52
Bahrain,2000,70.47
Bangladesh,2019,74.25
Bangladesh,2015,73.58
Bangladesh,2010,70.29
Bangladesh,2000,65.59
Barbados,2019,76.03
Barbados,2015,76.22
Barbados,2010,75.88
Barbados,2000,74.50
Belarus,2019,74.81
Belarus,2015,73.82
Belarus,2010,70.39
Belarus,2000,68.85
Belgium,2019,81.42
Belgium,2015,80.71
Belgium,2010,79.85
Belgium,2000,77.66
Belize,2019,74.41
Belize,2015,74.05
Belize,2010,73.39
Belize,2000,70.34
Benin,2019,63.43
Benin,2015,61.96
Benin,2010,60.47
Benin,2000,56.59
Bhutan,2019,73.11
Bhutan,2015,72.15
Bhutan,2010,71.01
Bhutan,2000,65.70
Bolivia (Plurinational State of),2019,72.14
Bolivia (Plurinational State of),2015,71.52
Bolivia (Plurinational State of),2010,70.34
Bolivia (Plurinational State of),2000,66.02
Bosnia and Herzegovina,2019,76.75
Bosnia and Herzegovina,2015,76.32
Bosnia and Herzegovina,2010,76.19
Bosnia and Herzegovina,2000,75.42
Botswana,2019,62.25
Botswana,2015,60.93
Botswana,2010,58.14
Botswana,2000,45.59
Brazil,2019,75.90
Brazil,2015,75.13
Brazil,2010,74.09
Brazil,2000,71.47
Brunei Darussalam,2019,74.32
Brunei Darussalam,2015,74.40
Brunei Darussalam,2010,74.57
Brunei Darussalam,2000,72.20
Bulgaria,2019,75.07
Bulgaria,2015,74.55
Bulgaria,2010,73.64
Bulgaria,2000,71.61
Burkina Faso,2019,62.70
Burkina Faso,2015,60.92
Burkina Faso,2010,58.59
Burkina Faso,2000,51.64
Burundi,2019,63.84
Burundi,2015,62.05
Burundi,2010,58.60
Burundi,2000,43.78
Cabo Verde,2019,74.03
Cabo Verde,2015,74.88
Cabo Verde,2010,74.12
Cabo Verde,2000,70.97
Cambodia,2019,70.12
Cambodia,2015,69.17
Cambodia,2010,67.22
Cambodia,2000,58.68
Cameroon,2019,62.36
Cameroon,2015,59.11
Cameroon,2010,56.58
Cameroon,2000,52.82
Canada,2019,82.24
Canada,2015,81.76
Canada,2010,81.31
Canada,2000,79.10
Canada,1920,82.81
Central African Republic,2019,53.10
Central African Republic,2015,50.53
Central African Republic,2010,48.51
Central African Republic,2000,44.34
Chad,2019,59.63
Chad,2015,57.91
Chad,2010,55.65
Chad,2000,51.08
Chile,2019,80.74
Chile,2015,79.82
Chile,2010,78.46
Chile,2000,76.77
China,2019,77.43
China,2015,76.64
China,2010,74.89
China,2000,71.58
Colombia,2019,79.31
Colombia,2015,78.35
Colombia,2010,77.09
Colombia,2000,73.75
Comoros,2019,67.39
Comoros,2015,66.45
Comoros,2010,64.98
Comoros,2000,61.51
